年月,信用卡產業別,信用卡詐欺型態,詐欺筆數,詐欺金額[新臺幣]
201407,衣,被竊卡,5,505595
201407,衣,未達卡,1,28000
201407,衣,冒用申請卡,4,90480
201407,衣,偽卡,26,405077
201407,衣,MOTO / EC,110,976383
201407,衣,多刷帳單之詐欺,0,0
201407,衣,其他,3,13790
201407,住,遺失卡,8,407162
201407,住,被竊卡,4,70539
201407,住,未達卡,0,0
201407,住,冒用申請卡,2,26612
201407,住,偽卡,6,300331
201407,住,MOTO / EC,172,2191237
201407,住,多刷帳單之詐欺,0,0
201407,住,其他,4,38990
201407,行,遺失卡,65,92278
201407,行,被竊卡,6,53871
201407,行,未達卡,0,0
201407,行,冒用申請卡,5,6551
201407,行,偽卡,15,37412
201407,行,MOTO / EC,183,2557155
201407,行,多刷帳單之詐欺,0,0
201407,行,其他,3,35812
201407,文教康樂,遺失卡,10,127231
201407,文教康樂,被竊卡,3,6969
201407,文教康樂,未達卡,0,0
201407,文教康樂,冒用申請卡,34,287075
201407,文教康樂,偽卡,12,47985
201407,文教康樂,MOTO / EC,3171,7076212
201407,文教康樂,多刷帳單之詐欺,0,0
201407,文教康樂,其他,24,239477
201407,百貨,遺失卡,5,82066
201407,百貨,被竊卡,6,83957
201407,百貨,未達卡,0,0
201407,百貨,冒用申請卡,4,25301
201407,百貨,偽卡,29,829208
201407,百貨,MOTO / EC,119,487831
201407,百貨,多刷帳單之詐欺,1,16720
201407,百貨,其他,3,5087
201407,其他,遺失卡,54,221437
201407,其他,被竊卡,22,250053
201407,其他,未達卡,0,0
201407,其他,冒用申請卡,19,82437
201407,其他,偽卡,28,663915
201407,其他,MOTO / EC,18155,24191328
201407,其他,多刷帳單之詐欺,1,908
201407,其他,其他,65,498938
201408,食,遺失卡,112,424115
201408,食,被竊卡,35,198949
201408,食,未達卡,0,0
201408,食,冒用申請卡,0,0
201408,食,偽卡,86,1021925
201408,食,MOTO / EC,161,1494972
201408,食,多刷帳單之詐欺,0,0
201408,食,其他,14,12704
201408,衣,遺失卡,16,106793
201408,衣,被竊卡,5,14126
201408,衣,未達卡,0,0
201408,衣,冒用申請卡,1,13180
201408,衣,偽卡,3,44578
201408,衣,MOTO / EC,136,917664
201408,衣,多刷帳單之詐欺,0,0
201408,衣,其他,5,8670
201408,住,遺失卡,17,288812
201408,住,被竊卡,10,132688
201408,住,未達卡,0,0
201408,住,冒用申請卡,1,4594
201408,住,偽卡,1,64055
201408,住,MOTO / EC,245,2631137
201408,住,多刷帳單之詐欺,1,3849
201408,住,其他,3,69590
201408,行,遺失卡,52,89804
201408,行,被竊卡,18,76796
201408,行,未達卡,0,0
201408,行,冒用申請卡,0,0
201408,行,偽卡,17,66244
201408,行,MOTO / EC,226,3779143
201408,行,多刷帳單之詐欺,0,0
201408,行,其他,13,96274
201408,文教康樂,遺失卡,22,144763
201408,文教康樂,被竊卡,6,152879
201408,文教康樂,未達卡,0,0
201408,文教康樂,冒用申請卡,3,10492
201408,文教康樂,偽卡,6,73633
201408,文教康樂,MOTO / EC,3122,6334778
201408,文教康樂,多刷帳單之詐欺,0,0
201408,文教康樂,其他,31,85027
201408,百貨,遺失卡,22,398754
201408,百貨,被竊卡,9,163184
201408,百貨,未達卡,0,0
201408,百貨,冒用申請卡,44,25570
201408,百貨,偽卡,22,422421
201408,百貨,MOTO / EC,64,471995
201408,百貨,多刷帳單之詐欺,1,11166
201408,百貨,其他,4,9055
201408,其他,遺失卡,70,730123
201408,其他,被竊卡,23,757074
201408,其他,未達卡,0,0
201408,其他,冒用申請卡,45,93745
201408,其他,偽卡,51,543966
201408,其他,MOTO / EC,18289,24055551
201408,其他,多刷帳單之詐欺,50,45952
201408,其他,其他,56,72608
201409,食,遺失卡,86,506616
201409,食,被竊卡,55,355879
201409,食,未達卡,0,0
201409,食,冒用申請卡,51,68140
201409,食,偽卡,57,304698
201409,食,MOTO / EC,172,1628502
201409,食,多刷帳單之詐欺,0,0
201409,食,其他,10,466176
201409,衣,遺失卡,19,322136
201409,衣,被竊卡,5,57480
201409,衣,未達卡,0,0
201409,衣,冒用申請卡,6,51500
201409,衣,偽卡,12,133310
201409,衣,MOTO / EC,164,1021353
201409,衣,多刷帳單之詐欺,0,0
201409,衣,其他,0,0
201409,住,遺失卡,9,146489
201409,住,被竊卡,24,195146
201409,住,未達卡,0,0
201409,住,冒用申請卡,2,35348
201409,住,偽卡,10,308114
201409,住,MOTO / EC,145,1704299
201409,住,多刷帳單之詐欺,0,0
201409,住,其他,8,94503
201409,行,遺失卡,64,78483
201409,行,被竊卡,65,142703
201409,行,未達卡,0,0
201409,行,冒用申請卡,1,1586
201409,行,偽卡,17,20272
201409,行,MOTO / EC,227,3171437
201409,行,多刷帳單之詐欺,2,3346
201409,行,其他,42,72960
201409,文教康樂,遺失卡,9,52110
201409,文教康樂,被竊卡,23,122589
201409,文教康樂,未達卡,0,0
201409,文教康樂,冒用申請卡,9,23959
201409,文教康樂,偽卡,16,420852
201409,文教康樂,MOTO / EC,3544,8559268
201409,文教康樂,多刷帳單之詐欺,0,0
201409,文教康樂,其他,22,167831
201409,百貨,遺失卡,22,278895
201409,百貨,被竊卡,18,184964
201409,百貨,未達卡,0,0
201409,百貨,冒用申請卡,57,28215
201409,百貨,偽卡,42,887279
201409,百貨,MOTO / EC,137,743980
201409,百貨,多刷帳單之詐欺,0,0
201409,百貨,其他,8,233751
201409,其他,遺失卡,62,542953
201409,其他,被竊卡,27,325792
201409,其他,未達卡,0,0
201409,其他,冒用申請卡,310,439433
201409,其他,偽卡,65,859123
201409,其他,MOTO / EC,14436,23394885
201409,其他,多刷帳單之詐欺,3,42958
201409,其他,其他,83,441868
201410,食,遺失卡,87,375404
201410,食,被竊卡,33,338189
201410,食,未達卡,0,0
201410,食,冒用申請卡,3,14084
201410,食,偽卡,43,668105
201410,食,MOTO / EC,191,1431363
201410,食,多刷帳單之詐欺,1,3990
201410,食,其他,6,37579
201410,衣,遺失卡,8,36239
201410,衣,被竊卡,4,11010
201410,衣,未達卡,0,0
201410,衣,冒用申請卡,6,20597
201410,衣,偽卡,3,118148
201410,衣,MOTO / EC,330,2531193
201410,衣,多刷帳單之詐欺,0,0
201410,衣,其他,1,1971
201410,住,遺失卡,20,196699
201410,住,被竊卡,8,98766
201410,住,未達卡,0,0
201410,住,冒用申請卡,3,22345
201410,住,偽卡,47,1094765
201410,住,MOTO / EC,108,1496669
201410,住,多刷帳單之詐欺,0,0
201410,住,其他,2,20135
201410,行,遺失卡,33,21617
201410,行,被竊卡,15,45343
201410,行,未達卡,0,0
201410,行,冒用申請卡,12,13850
201410,行,偽卡,15,52274
201410,行,MOTO / EC,576,2849238
201410,行,多刷帳單之詐欺,2,7082
201410,行,其他,6,40700
201410,文教康樂,遺失卡,16,41387
201410,文教康樂,被竊卡,4,80598
201410,文教康樂,未達卡,0,0
201410,文教康樂,冒用申請卡,3,46284
201410,文教康樂,偽卡,18,311677
201410,文教康樂,MOTO / EC,4049,8892579
201410,文教康樂,多刷帳單之詐欺,1,7560
201410,文教康樂,其他,5,13015
201410,百貨,遺失卡,13,74379
201410,百貨,被竊卡,4,167519
201410,百貨,未達卡,0,0
201410,百貨,冒用申請卡,7,149070
201410,百貨,偽卡,24,328242
201410,百貨,MOTO / EC,130,587623
201410,百貨,多刷帳單之詐欺,0,0
201410,百貨,其他,1,97417
201410,其他,遺失卡,36,436032
201410,其他,被竊卡,8,76618
201410,其他,未達卡,0,0
201410,其他,冒用申請卡,47,116233
201410,其他,偽卡,66,1533231
201410,其他,MOTO / EC,16189,34216089
201410,其他,多刷帳單之詐欺,2,11830
201410,其他,其他,35,61746
201411,食,遺失卡,80,805193
201411,食,被竊卡,30,327650
201411,食,未達卡,0,0
201411,食,冒用申請卡,0,0
201411,食,偽卡,58,1175137
201411,食,MOTO / EC,204,1014967
201411,食,多刷帳單之詐欺,1,15276
201411,食,其他,1,98290
201411,衣,遺失卡,15,182241
201411,衣,被竊卡,2,5428
201411,衣,未達卡,0,0
201411,衣,冒用申請卡,4,40715
201411,衣,偽卡,0,0
201411,衣,MOTO / EC,302,2554008
201411,衣,多刷帳單之詐欺,0,0
201411,衣,其他,1,10085
201411,住,遺失卡,39,215563
201411,住,被竊卡,6,214726
201411,住,未達卡,0,0
201411,住,冒用申請卡,0,0
201411,住,偽卡,1,6588
201411,住,MOTO / EC,117,2213111
201411,住,多刷帳單之詐欺,0,0
201411,住,其他,1,21135
201411,行,遺失卡,35,71408
201411,行,被竊卡,14,65364
201411,行,未達卡,0,0
201411,行,冒用申請卡,8,7902
201411,行,偽卡,9,22093
201411,行,MOTO / EC,766,2032827
201411,行,多刷帳單之詐欺,0,0
201411,行,其他,3,6275
201411,文教康樂,遺失卡,7,126775
201411,文教康樂,被竊卡,2,11200
201411,文教康樂,未達卡,0,0
201411,文教康樂,冒用申請卡,5,7470
201411,文教康樂,偽卡,10,140792
201411,文教康樂,MOTO / EC,3054,7952256
201411,文教康樂,多刷帳單之詐欺,0,0
201411,文教康樂,其他,5,13986
201411,百貨,遺失卡,19,566302
201411,百貨,被竊卡,5,115901
201411,百貨,未達卡,0,0
201411,百貨,冒用申請卡,0,0
201411,百貨,偽卡,30,622051
201411,百貨,MOTO / EC,115,1087370
201411,百貨,多刷帳單之詐欺,0,0
201411,百貨,其他,1,177603
201411,其他,遺失卡,65,819870
201411,其他,被竊卡,8,23650
201411,其他,未達卡,0,0
201411,其他,冒用申請卡,23,395675
201411,其他,偽卡,40,1685066
201411,其他,MOTO / EC,15000,22764069
201411,其他,多刷帳單之詐欺,3,29178
201411,其他,其他,13,673135
201412,食,遺失卡,133,729007
201412,食,被竊卡,30,125898
201412,食,未達卡,0,0
201412,食,冒用申請卡,0,0
201412,食,偽卡,102,1107708
201412,食,MOTO / EC,329,1775284
201412,食,多刷帳單之詐欺,0,0
201412,食,其他,1,1612
201412,衣,遺失卡,42,453205
201412,衣,被竊卡,15,563662
201412,衣,未達卡,0,0
201412,衣,冒用申請卡,0,0
201412,衣,偽卡,2,59578
201412,衣,MOTO / EC,235,2425221
201412,衣,多刷帳單之詐欺,0,0
201412,衣,其他,0,0
201412,住,遺失卡,36,271131
201412,住,被竊卡,22,164877
201412,住,未達卡,0,0
201412,住,冒用申請卡,0,0
201412,住,偽卡,5,499370
201412,住,MOTO / EC,138,1808561
201412,住,多刷帳單之詐欺,0,0
201412,住,其他,3,47270
201412,行,遺失卡,159,132180
201412,行,被竊卡,19,36652
201412,行,未達卡,0,0
201412,行,冒用申請卡,0,0
201412,行,偽卡,34,99996
201412,行,MOTO / EC,761,3552537
201412,行,多刷帳單之詐欺,3,4965
201412,行,其他,4,9038
201412,文教康樂,遺失卡,43,298085
201412,文教康樂,被竊卡,8,49492
201412,文教康樂,未達卡,0,0
201412,文教康樂,冒用申請卡,2,860
201412,文教康樂,偽卡,1,40663
201412,文教康樂,MOTO / EC,3130,7641739
201412,文教康樂,多刷帳單之詐欺,1,499
201412,文教康樂,其他,7,50504
201412,百貨,遺失卡,41,501769
201412,百貨,被竊卡,21,195204
201412,百貨,未達卡,0,0
201412,百貨,冒用申請卡,0,0
201412,百貨,偽卡,52,1061899
201412,百貨,MOTO / EC,134,870618
201412,百貨,多刷帳單之詐欺,0,0
201412,百貨,其他,0,0
201412,其他,遺失卡,82,892404
201412,其他,被竊卡,41,387231
201412,其他,未達卡,3,42150
201412,其他,冒用申請卡,33,321408
201412,其他,偽卡,34,529586
201412,其他,MOTO / EC,13719,25273637
201412,其他,多刷帳單之詐欺,1,120
201412,其他,其他,28,865898
201501,食,遺失卡,80,929470
201501,食,被竊卡,28,374806
201501,食,未達卡,0,0
201501,食,冒用申請卡,0,0
201501,食,偽卡,135,1103049
201501,食,MOTO / EC,315,2110101
201501,食,多刷帳單之詐欺,6,202993
201501,食,其他,6,19234
201501,衣,遺失卡,12,351902
201501,衣,被竊卡,5,85463
201501,衣,未達卡,0,0
201501,衣,冒用申請卡,0,0
201501,衣,偽卡,11,106383
201501,衣,MOTO / EC,202,2285370
201501,衣,多刷帳單之詐欺,0,0
201501,衣,其他,1,2748
201501,住,遺失卡,34,267267
201501,住,被竊卡,5,128200
201501,住,未達卡,0,0
201501,住,冒用申請卡,0,0
201501,住,偽卡,19,288467
201501,住,MOTO / EC,139,2723846
201501,住,多刷帳單之詐欺,0,0
201501,住,其他,7,130436
201501,行,遺失卡,64,115230
201501,行,被竊卡,13,39923
201501,行,未達卡,0,0
201501,行,冒用申請卡,1,1000
201501,行,偽卡,51,88617
201501,行,MOTO / EC,266,2556870
201501,行,多刷帳單之詐欺,0,0
201501,行,其他,9,70837
201501,文教康樂,遺失卡,10,85820
201501,文教康樂,被竊卡,6,117804
201501,文教康樂,未達卡,1,5572
201501,文教康樂,冒用申請卡,2,61941
201501,文教康樂,偽卡,14,290982
201501,文教康樂,MOTO / EC,4031,14071169
201501,文教康樂,多刷帳單之詐欺,0,0
201501,文教康樂,其他,8,40079
201501,百貨,遺失卡,23,161266
201501,百貨,被竊卡,6,378010
201501,百貨,未達卡,0,0
201501,百貨,冒用申請卡,0,0
201501,百貨,偽卡,52,1045296
201501,百貨,MOTO / EC,103,699978
201501,百貨,多刷帳單之詐欺,1,99
201501,百貨,其他,6,41812
201501,其他,遺失卡,55,1250243
201501,其他,被竊卡,24,299690
201501,其他,未達卡,4,43600
201501,其他,冒用申請卡,2,16333
201501,其他,偽卡,64,886249
201501,其他,MOTO / EC,14864,28441276
201501,其他,多刷帳單之詐欺,1,1332
201501,其他,其他,43,199034
201502,食,遺失卡,30,149169
201502,食,被竊卡,15,75423
201502,食,未達卡,0,0
201502,食,冒用申請卡,0,0
201502,食,偽卡,144,1519061
201502,食,MOTO / EC,184,1017021
201502,食,多刷帳單之詐欺,8,190470
201502,食,其他,5,84927
201502,衣,遺失卡,9,315144
201502,衣,被竊卡,4,29942
201502,衣,未達卡,0,0
201502,衣,冒用申請卡,0,0
201502,衣,偽卡,5,33462
201502,衣,MOTO / EC,206,2104793
201502,衣,多刷帳單之詐欺,0,0
201502,衣,其他,4,30476
201502,住,遺失卡,18,449033
201502,住,被竊卡,6,232452
201502,住,未達卡,0,0
201502,住,冒用申請卡,0,0
201502,住,偽卡,12,246901
201502,住,MOTO / EC,117,1834081
201502,住,多刷帳單之詐欺,0,0
201502,住,其他,3,79996
201502,行,遺失卡,17,14125
201502,行,被竊卡,6,22643
201502,行,未達卡,0,0
201502,行,冒用申請卡,0,0
201502,行,偽卡,5,29795
201502,行,MOTO / EC,183,2152709
201502,行,多刷帳單之詐欺,0,0
201502,行,其他,2,35500
201502,文教康樂,遺失卡,16,84802
201502,文教康樂,被竊卡,14,70939
201502,文教康樂,未達卡,0,0
201502,文教康樂,冒用申請卡,0,0
201502,文教康樂,偽卡,15,197703
201502,文教康樂,MOTO / EC,3437,12134137
201502,文教康樂,多刷帳單之詐欺,1,7949
201502,文教康樂,其他,8,64197
201502,百貨,遺失卡,11,470110
201502,百貨,被竊卡,4,103197
201502,百貨,未達卡,0,0
201502,百貨,冒用申請卡,0,0
201502,百貨,偽卡,57,883421
201502,百貨,MOTO / EC,84,809113
201502,百貨,多刷帳單之詐欺,0,0
201502,百貨,其他,4,22818
201502,其他,遺失卡,55,415588
201502,其他,被竊卡,20,240107
201502,其他,未達卡,0,0
201502,其他,冒用申請卡,0,0
201502,其他,偽卡,68,1130384
201502,其他,MOTO / EC,11464,17684594
